,source,target,TS label,TS chiral?,
0,0030211000,0001203001,0030211000,yes,,,,,,,
1,0030211000,0011200300,0011200300,yes,,,,,,,
2,0030211000,0010123000,1000030210,yes,,,,,,,
3,0000210310,0000131200,0000210310,yes,,,,,,,
4,0000210310,0001301200,0210310000,yes,,,,,,,
5,0000210310,0001300120,0001300120,yes,,,,,,,
6,0002110030,0000301120,0002110030,yes,,,,,,,
7,0002110030,0003001120,2110030000,yes,,,,,,,
8,0002110030,0003000112,0003000112,yes,,,,,,,
9,0010300210,0120301000,0010300210,yes,,,,,,,
10,0010300210,0101200300,0300210010,yes,,,,,,,
11,0010300210,0031001200,0210010300,yes,,,,,,,
12,0020030101,1013002000,0020030101,yes,,,,,,,
13,0020030101,0103001200,0030100021,yes,,,,,,,
14,0020030101,0101302000,0100020031,yes,,,,,,,
15,0000210130,0000311200,0000210130,yes,,,,,,,
16,0000210130,0003101200,0210130000,yes,,,,,,,
17,0000210130,0003100120,0003100120,yes,,,,,,,
18,0010201003,0201003001,0010201003,yes,,,,,,,
19,0010201003,0010203100,0010203100,yes,,,,,,,
20,0010201003,0013021000,1000010203,yes,,,,,,,
21,0021003001,0012001003,0012001003,yes,,,,,,,
22,0021003001,0011200030,0030011200,yes,,,,,,,
23,0021003001,0031002001,2000031001,yes,,,,,,,
24,0103002001,0030101002,0030101002,yes,,,,,,,
25,0103002001,0020031010,0020031010,yes,,,,,,,
26,0103002001,0021000103,0100021003,yes,,,,,,,
27,0020100103,0102003010,0020100103,yes,,,,,,,
28,0020100103,0100103200,0100100023,no,,,,,,,
29,0020100103,0103012000,0100020103,yes,,,,,,,
30,0010201300,0030201001,0010201300,yes,,,,,,,
31,0010201300,0100310200,0201300010,yes,,,,,,,
32,0010201300,0021000310,1000310020,yes,,,,,,,
33,0020031001,1003002001,0020031001,yes,,,,,,,
34,0020031001,0013001200,0013001200,yes,,,,,,,
35,0020031001,0011302000,1000020031,yes,,,,,,,
36,0023001010,0032000101,0023001010,yes,,,,,,,
37,0023001010,0030201010,1010030200,yes,,,,,,,
38,0023001010,0002001013,1010023000,yes,,,,,,,
39,0030101200,0020103001,0030101200,yes,,,,,,,
40,0030101200,0100300210,0101200030,yes,,,,,,,
41,0030101200,0013000210,1200030100,yes,,,,,,,
42,0003210100,0000011230,0003210100,yes,,,,,,,
43,0003210100,0000101230,0101230000,yes,,,,,,,
44,0003210100,0000100123,0000100123,yes,,,,,,,
45,0001032010,0000103012,0001032010,yes,,,,,,,
46,0001032010,0001023010,1023010000,yes,,,,,,,
47,0001032010,0001020301,0001020301,yes,,,,,,,
48,0020030110,0113002000,0020030110,yes,,,,,,,
49,0020030110,0201103000,0030110020,yes,,,,,,,
50,0020030110,0302001100,0110020030,yes,,,,,,,
51,0000210103,0003011200,0000210103,yes,,,,,,,
52,0000210103,0101203000,0101203000,yes,,,,,,,
53,0000210103,0000103120,0000103120,yes,,,,,,,
54,0201003010,0010200103,0010200103,yes,,,,,,,
55,0201003010,0010021030,1003010200,yes,,,,,,,
56,0201003010,0000201031,0201030001,yes,,,,,,,
57,0100103002,0100102003,0100102003,no,,,,,,,
58,0100103002,0030102010,0030102010,yes,,,,,,,
59,0100103002,0032010100,0100032010,yes,,,,,,,
60,0001201003,0003000211,0001201003,yes,,,,,,,
61,0001201003,0010213000,0010213000,yes,,,,,,,
62,0001201003,0000013021,0000013021,yes,,,,,,,
63,0001020301,0001032010,0001020301,yes,,,,,,,
64,0001020301,0302011000,0302011000,yes,,,,,,,
65,0001020301,0000301201,0000301201,yes,,,,,,,
66,0000231010,0000103201,0000231010,yes,,,,,,,
67,0000231010,0001013200,0231010000,yes,,,,,,,
68,0000231010,0001010320,0001010320,yes,,,,,,,
69,0000311002,0002001301,0000311002,yes,,,,,,,
70,0000311002,0011302000,0011302000,yes,,,,,,,
71,0000311002,0000012130,0000012130,yes,,,,,,,
72,0013000120,0031000210,0013000120,yes,,,,,,,
73,0013000120,0030102100,2100030100,yes,,,,,,,
74,0013000120,0001002103,0120013000,yes,,,,,,,
75,0102000130,0020100310,0020100310,yes,,,,,,,
76,0102000130,0013100020,2000130100,yes,,,,,,,
77,0102000130,0000103102,0103100002,yes,,,,,,,
78,0021000301,0012001030,0012001030,yes,,,,,,,
79,0021000301,0011200300,0300011200,yes,,,,,,,
80,0021000301,0301002001,0300021001,yes,,,,,,,
81,0301201000,0000210301,0210300001,yes,,,,,,,
82,0301201000,0010210030,0010210030,yes,,,,,,,
83,0301201000,0010020301,0300010021,yes,,,,,,,
84,0003000121,0001210030,0003000121,yes,,,,,,,
85,0003000121,0031002100,2100031000,yes,,,,,,,
86,0003000121,0002101003,0002101003,yes,,,,,,,
87,0001000312,0002130010,0001000312,yes,,,,,,,
88,0001000312,0012001300,1000310002,yes,,,,,,,
89,0001000312,0001302001,0001302001,yes,,,,,,,
90,0020113000,0001102003,0020113000,yes,,,,,,,
91,0020113000,0031100200,0031100200,yes,,,,,,,
