,id,chiral?,enantiomer,
0,0030211000,yes,0031000210,,,,,
1,0000210310,yes,0000310210,,,,,
2,0002110030,yes,0000032110,,,,,
3,0010300210,yes,0010210300,,,,,
4,0020030101,yes,0020100031,,,,,
5,0000210130,yes,0000130210,,,,,
6,0010201003,yes,0011000203,,,,,
7,0021003001,yes,0023001001,,,,,
8,0103002001,yes,0102003001,,,,,
9,0020100103,no,,,,,,
10,0010201300,yes,0011300200,,,,,
11,0020031001,yes,0021000031,,,,,
12,0023001010,yes,0021013000,,,,,
13,0030101200,yes,0031200100,,,,,
14,0003210100,yes,0000103210,,,,,
15,0001032010,yes,0002011030,,,,,
16,0020030110,yes,0020110030,,,,,
17,0000210103,yes,0000100213,,,,,
18,0201003010,yes,0203011000,,,,,
19,0100103002,no,,,,,,
20,0001201003,yes,0001001203,,,,,
21,0001020301,yes,0000301021,,,,,
22,0000231010,yes,0001010230,,,,,
23,0000311002,yes,0001000312,,,,,
24,0013000120,yes,0010123000,,,,,
25,0102000130,yes,0100132000,,,,,
26,0021000301,yes,0020301001,,,,,
27,0301201000,yes,0301001200,,,,,
28,0003000121,yes,0000123001,,,,,
29,0001000312,yes,0000311002,,,,,
30,0020113000,yes,0023000110,,,,,
31,0011000230,yes,0010231000,,,,,
32,0000011032,yes,0001030012,,,,,
33,0023001001,yes,0021003001,,,,,
34,0002010103,yes,0000102013,,,,,
35,0001012030,yes,0002031010,,,,,
36,0031002100,yes,0032101000,,,,,
37,0101003200,yes,0103201000,,,,,
38,0010012300,no,,,,,,
39,0020301010,yes,0021010300,,,,,
40,0032000110,yes,0030112000,,,,,
41,0000301210,yes,0001210300,,,,,
42,0012030100,yes,0010102030,,,,,
43,0000010312,yes,0000310012,,,,,
44,0100300201,yes,0100200301,,,,,
45,0010020130,yes,0010130020,,,,,
46,0001020013,yes,0000011023,,,,,
47,0003020110,yes,0000113020,,,,,
48,0000021310,yes,0001310020,,,,,
49,0201000301,yes,0200301001,,,,,
50,0000001312,no,,,,,,
51,0011000203,yes,0010201003,,,,,
52,0000210013,yes,0000010213,,,,,
53,0010032010,yes,0012010030,,,,,
54,0100100203,no,,,,,,
55,0010213000,yes,0013000210,,,,,
56,1002001030,yes,1001032000,,,,,
57,0103201000,yes,0101003200,,,,,
58,0011002030,yes,0012031000,,,,,
59,0000013201,yes,0003200011,,,,,
60,0001031020,yes,0001021030,,,,,
61,0003012100,yes,0002103010,,,,,
62,0010320100,yes,0010100320,,,,,
63,0100201003,yes,0101000203,,,,,
64,0001102003,yes,0002001103,,,,,
65,0002013010,yes,0003012010,,,,,
66,0000203101,yes,0003100201,,,,,
67,0010100032,yes,0010030102,,,,,
68,0003010102,yes,0000103012,,,,,
69,1012003000,yes,1013002000,,,,,
70,0013012000,yes,0012003010,,,,,
71,0001200301,yes,0000301201,,,,,
72,0301001002,no,,,,,,
73,0030100210,yes,0030210100,,,,,
74,0000102130,yes,0002130100,,,,,
75,0000312010,yes,0002010310,,,,,
76,0020103010,yes,0023010100,,,,,
77,0021100300,yes,0020301100,,,,,
78,1002013000,yes,1003002010,,,,,
79,0003010012,yes,0000013012,,,,,
80,0002010013,yes,0000012013,,,,,
81,0030120100,yes,0030100120,,,,,
82,0000112300,yes,0002300110,,,,,
83,0001300210,yes,0000211300,,,,,
84,0010023010,yes,0013010020,,,,,
85,1001032000,yes,1002001030,,,,,
86,0000101203,yes,0001200103,,,,,
87,0023000101,yes,0020103001,,,,,
88,0000310201,yes,0000200311,,,,,
89,0103000201,yes,0100203001,,,,,
90,0000030112,yes,0000110032,,,,,
91,0101030200,yes,0100201030,,,,,
92,0012100030,yes,0010032100,,,,,
93,0002013100,yes,0003102010,,,,,
94,0000100231,yes,0000230101,,,,,
95,0211003000,yes,0213001000,,,,,
96,0002013001,yes,0003002011,,,,,
97,0102031000,yes,0101002030,,,,,
98,1001023000,yes,1003001020,,,,,
99,0000320101,yes,0000100321,,,,,
